ProductNumber,Brand,Name,Rating,Evaluations,Price,Availability,URL,Type,Size(inci)
465904,Black Swamp Percussion,Dynamicx Snare Drum DXS5514TSH,5,1,5099.00,Available,https://www.thomann.de/ro/black_swamp_percussion_dynamicx_snare_drum_dxs5514tsh.htm?type=category,premiere,
536604,Pearl,"14""x6,5"" Sensitone Alu B-Stock",,0,2333.00,Available,https://www.thomann.de/ro/pearl_14x65_sensitone_alu_b_stock_536604.htm?type=category,tobe,
624542,Ludwig,"14""x05"" LC660KT Copper B-Stock",,0,6333.00,Available,https://www.thomann.de/ro/ludwig_14x05_lc660kt_copper_b_stock.htm?type=category,tobe,
567239,Pearl,DC1465S Dennis Chambers Snare,,0,5599.00,Available,https://www.thomann.de/ro/pearl_dc1465s_dennis_chambers_snare.htm?type=category,tobe,
513605,DW,"PDP 14""x5"" Concept Bronze",5,3,5333.00,Available,https://www.thomann.de/ro/dw_pdp_14_x5_concept_bronze.htm?type=category,tobe,
577345,DW,"PDP 14""x08"" Concept Bronze",,0,6599.00,Available,https://www.thomann.de/ro/dw_pdp_14_x08_concept_bronze.htm?type=category,tobe,
556857,Oruga,Sizzler.O Jingles,,0,101.00,Available,https://www.thomann.de/ro/oruga_sizzler.o_jingles.htm?type=category,accesorii,
568161,Yamaha,"Stage Custom 14""x11"" TT - MSG",5,1,922.00,Available,https://www.thomann.de/ro/yamaha_stage_custom_14_x11_tt_msg.htm?type=category,tomtom,14
627023,DrumCraft,"Series 6 18""x16"" Floor B-Stock",,0,990.00,Available,https://www.thomann.de/ro/drumcraft_series_6_18x16_floor_b_stock_627023.htm?type=category,cazane,18
615369,Pearl,"24""x18"" Export BD Mid. Blue",,0,2077.00,Unavailable,https://www.thomann.de/ro/pearl_24x18_export_bd_mid_blue.htm?type=category,tobe,24
615358,Pearl,"22""x18"" Export BD S. White",,0,1899.00,Unavailable,https://www.thomann.de/ro/pearl_22x18_export_bd_s_white.htm?type=category,tobe,22
615352,Pearl,"20""x16"" Export BD S. White",,0,1859.00,Unavailable,https://www.thomann.de/ro/pearl_20x16_export_bd_s_white.htm?type=category,tobe,20
523641,DrumCraft,"Series 6 18""x14"" Bass Drum SWB",,0,1935.00,Available,https://www.thomann.de/ro/drumcraft_series_6_18_x14_bass_drum_swb.htm?type=category,tobe,18
535387,DW,"13""x07"" SB over Brass Snare",5,1,3444.00,Unavailable,https://www.thomann.de/ro/dw_13_x07_sb_over_brass_snare.htm?type=category,tobe,13
512266,Sonor,"13""x6"" Vintage Snare Black",,0,4090.00,Available,https://www.thomann.de/ro/sonor_13_x6_vintage_snare_black.htm?type=category,tobe,13
512892,Mapex,"12""x5,5"" DL Warbird Sn B-Stock",,0,3090.00,Available,https://www.thomann.de/ro/mapex_12x55_dl_warbird_sn_b_stock.htm?type=category,tobe,12
304553,Sonor,"Select 10""x2"" Jungle S B-Stock",4.4,8,798.00,Available,https://www.thomann.de/ro/sonor_select_10x2_jungle_s_b_stock.htm?type=category,tobe,10
238967,Remo,"34 3/4"" Renaissance Timp. Head",,0,1444.00,Unavailable,https://www.thomann.de/ro/remo_34_3_4_renaissance_timp._head.htm?type=category,fete,32
238158,Kalfo,Super Timpani Head 91cm,,0,2999.00,Unavailable,https://www.thomann.de/ro/kalfo_super_timpani_91.htm?type=category,fete,29
238957,Remo,"28 1/2"" Renaissance Timp. Head",5,1,1090.00,Available,https://www.thomann.de/ro/remo_28_1_2_renaissance_timp._head.htm?type=category,fete,28
238958,Remo,"27 1/2"" Renaissance Timp. Head",,0,975.00,Available,https://www.thomann.de/ro/remo_27_12_renaissance_paukenfell.htm?type=category,fete,26
199999,Remo,"22 8/16"" Renaissan. Timp. Head",,0,825.00,Available,https://www.thomann.de/ro/remo_22_8_16_renaissan_timp._head.htm?type=category,fete,23
285054,Millenium,"13""x3,5"" Black Beast S B-Stock",4,1,419.00,Available,https://www.thomann.de/ro/millenium_13x35_black_beast_s_b_stock.htm?type=category,tobe,13
336499,Gretsch Drums,"12""x06"" Brooklyn Chrome/Steel",4.5,4,2333.00,Available,https://www.thomann.de/ro/gretsch_drums_12x06_brooklyn_chrome_steel.htm?type=category,tobe,12
161371,Pearl,"10""x05"" Fire Cracker Snare",4.7,29,1290.00,Available,https://www.thomann.de/ro/pearl_fcs1050_firecracker_snaredrum.htm?type=category,premiere,10
333898,Millenium,"10""x5,5"" Brass Side Snare",4.6,20,689.00,Available,https://www.thomann.de/ro/millenium_10x55_brass_side_snare.htm?type=category,tobe,10
579848,Millenium,"16""x10"" Focus Jr. Bass B-Stock",,0,419.00,Available,https://www.thomann.de/ro/millenium_16x10_focus_jr_bass_b_stock.htm?type=category,tobe,16
626169,DrumCraft,"Series 6 13""x09"" Tom T B-Stock",,0,798.00,Available,https://www.thomann.de/ro/drumcraft_series_6_13x09_tom_t_b_stock_626169.htm?type=category,tomtom,13
564836,DrumCraft,"Series 6 12""x08"" Tom T B-Stock",,0,659.00,Available,https://www.thomann.de/ro/drumcraft_series_6_12x08_tom_t_b_stock_564836.htm?type=category,tomtom,12
610530,Istanbul Mehmet,IMC Dark Stack,,0,2555.00,Available,https://www.thomann.de/ro/istanbul_mehmet_imc_dark_stack.htm?type=category,stive,
111782,Masterwork,Troy Cymbal Set,4.7,66,2499.00,Available,https://www.thomann.de/ro/masterwork_troy_beckensatz.htm?type=category,seturi,
254798,Studio,49 CS44 Beater for Xylophone,4,4,71.00,Available,https://www.thomann.de/ro/studio_49_cs44_beater_for_xylophone.htm?type=category,maciuci,
424407,Ufip,"16"" Blast Series Hi-Hat",,0,2855.00,Available,https://www.thomann.de/ro/ufip_16_blast_series_hi_hat.htm?type=category,fus,16
561382,Zildjian,FX Raw Crash Large Bel B-Stock,,0,1555.00,Available,https://www.thomann.de/ro/zildjian_fx_raw_crash_large_bel_b_stock.htm?type=category,crash,21
611786,Sabian,"11"" AAX MAXX Splash V2",,0,1099.00,Available,https://www.thomann.de/ro/sabian_11_aax_maxx_splash_v2.htm?type=category,splash,11
619021,Meinl,"22"" Byzance Foundry Re B-Stock",,0,3222.00,Available,https://www.thomann.de/ro/meinl_22_byzance_foundry_re_b_stock_619021.htm?type=category,cinele,22
611784,Sabian,"09"" AAX MAXX Splash V2",,0,1035.00,Available,https://www.thomann.de/ro/sabian_09_aax_maxx_splash_v2.htm?type=category,splash,9
111575,Masterwork,"09"" Custom Splash",4.5,4,419.00,Available,https://www.thomann.de/ro/masterwork_09_custom_splash.htm?type=category,splash,9
535955,Meinl,"08"" Classics Cust. Dar B-Stock",,0,315.00,Available,https://www.thomann.de/ro/meinl_08_classics_cust_dar_b_stock.htm?type=category,splash,8
548863,Kolberg,815AM Filigrana 2,,0,399.00,Available,https://www.thomann.de/ro/kolberg_815am_filigrana_2.htm?type=category,maciuci,
584146,Kolberg,R802XP Psappha Mallets,,0,585.00,Available,https://www.thomann.de/ro/kolberg_r802xp_psappha_mallets.htm?type=category,maciuci,
577434,Pearl,Midtown Pure White,5,2,3069.00,Available,https://www.thomann.de/ro/pearl_midtown_pure_white.htm?type=category,seturi,
542896,Pearl,"Roadshow 20"" Plus Royal Blue",,0,4111.00,Available,https://www.thomann.de/ro/pearl_roadshow_20_plus_royal_blue.htm?type=category,seturi,
521874,Pearl,"Roadshow 18"" Plus Jet Black",4,2,3959.00,Available,https://www.thomann.de/ro/pearl_roadshow_18_plus_jet_black.htm?type=category,seturi,
381678,"Pearl, Studio",Pearl Decade Maple Studio BK Burst,5,4,7699.00,Available,https://www.thomann.de/ro/pearl_decade_maple_studio_bk_burst.htm?type=category,seturi,
575872,Tama,"Imperialstar 20"" 5pcs -CTW",,0,4799.00,Available,https://www.thomann.de/ro/tama_imperialstar_20_5pcs_ctw_575872.htm?type=category,seturi,
577437,Pearl,Midtown Matte Black,5,1,3069.00,Available,https://www.thomann.de/ro/pearl_midtown_matte_black.htm?type=category,seturi,
627264,Thomann,Wind Gong 130 B-Stock,,0,11690.00,Available,https://www.thomann.de/ro/thomann_wind_gong_130_b_stock.htm?type=category,gong,
602632,Thomann,"Tam Gong 56"" ES B-Stock",,0,10222.00,Available,https://www.thomann.de/ro/thomann_tam_gong_56_es_b_stock.htm?type=category,gong,
621653,Thomann,Wuhan Tam Tam 130 B-Stock,,0,12190.00,Available,https://www.thomann.de/ro/thomann_wuhan_tam_tam_130_b_stock.htm?type=category,gong,
612033,Dixon,Artisan Walnut/Maple Set SW,,0,13777.00,Available,https://www.thomann.de/ro/dixon_artisan_walnut_maple_set_sw.htm?type=category,seturi,
626190,Slingerland,"24"" Radio King 3pcs Kit WMP",,0,20890.00,Unavailable,https://www.thomann.de/ro/slingerland_24_radio_king_3pcs_kit_wmp.htm?type=category,seturi,
554100,Gibraltar,"SC-EMBA 16"" Drum Modul B-Stock",,0,,Available,https://www.thomann.de/ro/gibraltar_sc_emba_16_drum_modul_b_stock_554100.htm?type=category,piese,
541613,Gibraltar,SC-BAMML Boom Arm Mic B-Stock,,0,,Available,https://www.thomann.de/ro/gibraltar_sc_bamml_boom_arm_mic_b_stock.htm?type=category,piese,
475858,Tama,Remote Hi-Hat Cable 120cm,5,4,206.00,Available,https://www.thomann.de/ro/tama_remote_hi_hat_cable_120cm.htm?type=category,piese,
582509,Ludwig,"14""x5,5"" Universal Black&Gold",5,3,2855.00,Available,https://www.thomann.de/ro/ludwig_14_x55_universal_blackgold.htm?type=category,tobe,14
394391,Gretsch Drums,"14""x05"" Snare Chrome o B-Stock",,0,,Available,https://www.thomann.de/ro/gretsch_14x05_snare_chrome_o_b_stock.htm?type=category,tobe,14
