name,description,rating,price,,availability,product_url,listing_page_url
Black Swamp Percussion Dynamicx Snare Drum DXS5514TSH,"Iulie 2019 / 465904 / 1 bucată(ăţi) / No / Titan / 14"" / 5,5"" / Metall / Natural / 5,5""",5.0 din 5 stele din 1 evaluări ale clienților,5099.00,5099.00,în stoc,https://www.thomann.de/ro/black_swamp_percussion_dynamicx_snare_drum_dxs5514tsh.htm?type=category,https://www.thomann.de/ro/alte_premiere.html
"Pearl 14""x6,5"" Sensitone Alu B-Stock",Septembrie 2021 / 536604 / 1 bucată(ăţi),,2333.00,2333.00,în stoc,https://www.thomann.de/ro/pearl_14x65_sensitone_alu_b_stock_536604.htm?type=category,https://www.thomann.de/ro/tobe_mici_aluminiu.html
"Ludwig 14""x05"" LC660KT Copper B-Stock","Octombrie 2023 / 624542 / 1 bucată(ăţi) / No / Yes / 14"" / 5""",,6333.00,6333.00,în stoc,https://www.thomann.de/ro/ludwig_14x05_lc660kt_copper_b_stock.htm?type=category,https://www.thomann.de/ro/tobe_mici_din_cupru.html
Pearl DC1465S Dennis Chambers Snare,"Mai 2023 / 567239 / 1 bucată(ăţi) / Black / No / No / Lacquer, matt / Maple / Yes / Chrome / Dennis Chambers",,5599.00,5599.00,în stoc,https://www.thomann.de/ro/pearl_dc1465s_dennis_chambers_snare.htm?type=category,https://www.thomann.de/ro/tobe_mici_cu_semnatura.html
"DW PDP 14""x5"" Concept Bronze","Octombrie 2021 / 513605 / 1 bucată(ăţi) / No / No / 14"" / 5""",5.0 din 5 stele din 3 evaluări ale clienților,5333.00,5333.00,în stoc,https://www.thomann.de/ro/dw_pdp_14_x5_concept_bronze.htm?type=category,https://www.thomann.de/ro/tobe_mici_din_bronz.html
"DW PDP 14""x08"" Concept Bronze","Octombrie 2023 / 577345 / 1 bucată(ăţi) / No / No / 14"" / 8""",,6599.00,6599.00,în stoc,https://www.thomann.de/ro/dw_pdp_14_x08_concept_bronze.htm?type=category,https://www.thomann.de/ro/tobe_mici_din_bronz.html
Oruga Sizzler.O Jingles,Decembrie 2022 / 556857 / 1 bucată(ăţi) / Shells / 3 / Yes,,101.00,101.00,în stoc,https://www.thomann.de/ro/oruga_sizzler.o_jingles.htm?type=category,https://www.thomann.de/ro/accesorii_de_cinele.html
"Yamaha Stage Custom 14""x11"" TT - MSG","Octombrie 2023 / 568161 / 1 bucată(ăţi) / Green / Birch / Paint, matt",5.0 din 5 stele din 1 evaluări ale clienților,922.00,922.00,în stoc,https://www.thomann.de/ro/yamaha_stage_custom_14_x11_tt_msg.htm?type=category,https://www.thomann.de/ro/tomtom-uri_14_inci.html
"DrumCraft Series 6 18""x16"" Floor B-Stock","627023 / 1 bucată(ăţi) / Blue / No / Yes / Lacquer, High glossy / Maple, Walnut / Satin Chrome",,990.00,990.00,în stoc,https://www.thomann.de/ro/drumcraft_series_6_18x16_floor_b_stock_627023.htm?type=category,https://www.thomann.de/ro/cazane_18_inci.html
"Pearl 24""x18"" Export BD Mid. Blue",615369 / 1 bucată(ăţi) / Blue / No / No / Foil / Poplar / Chrome / Yes,,2077.00,2077.00,Disponibil in 2-3 Saptamani,https://www.thomann.de/ro/pearl_24x18_export_bd_mid_blue.htm?type=category,https://www.thomann.de/ro/tobe_mari_24_inci.html
"Pearl 22""x18"" Export BD S. White",615358 / 1 bucată(ăţi) / White / No / No / Foil / Poplar / Chrome / Yes,,1899.00,1899.00,Disponibil in 2-3 Saptamani,https://www.thomann.de/ro/pearl_22x18_export_bd_s_white.htm?type=category,https://www.thomann.de/ro/tobe_mari_22_inci.html
"Pearl 20""x16"" Export BD S. White",615352 / 1 bucată(ăţi) / White / No / No / Foil / Poplar / Chrome / Yes,,1859.00,1859.00,Disponibil in 2-3 Saptamani,https://www.thomann.de/ro/pearl_20x16_export_bd_s_white.htm?type=category,https://www.thomann.de/ro/tobe_mari_20_inci.html
"DrumCraft Series 6 18""x14"" Bass Drum SWB","Iulie 2022 / 523641 / 1 bucată(ăţi) / White / No / Yes / Lacquer, High glossy / Maple, Walnut / Satin Chrome / Yes",,1935.00,1935.00,în stoc,https://www.thomann.de/ro/drumcraft_series_6_18_x14_bass_drum_swb.htm?type=category,https://www.thomann.de/ro/tobe_mari_18_inci.html
"DW 13""x07"" SB over Brass Snare",Ianuarie 2022 / 535387 / 1 bucată(ăţi) / No / No / Back,5.0 din 5 stele din 1 evaluări ale clienților,3444.00,3444.00,Disponibilitate medie (aprox. 1-2 săptămâni),https://www.thomann.de/ro/dw_13_x07_sb_over_brass_snare.htm?type=category,https://www.thomann.de/ro/tobe_mici_alama_13_inci.html
"Sonor 13""x6"" Vintage Snare Black","Februarie 2021 / 512266 / 1 bucată(ăţi) / 6"" / Black / No / No / Foil / Beech / No / Chrome",,"4,09",4090.00,în stoc,https://www.thomann.de/ro/sonor_13_x6_vintage_snare_black.htm?type=category,https://www.thomann.de/ro/tobe_mici_lemn_13_inci.html
"Mapex 12""x5,5"" DL Warbird Sn B-Stock","Octombrie 2020 / 512892 / 1 bucată(ăţi) / 5,5"" / Natural / No / No / Lacquer, Matt / Maple, Walnut / No / Brushed Black",,"3,09",3090.00,în stoc,https://www.thomann.de/ro/mapex_12x55_dl_warbird_sn_b_stock.htm?type=category,https://www.thomann.de/ro/tobe_mici_lemn_12_inci.html
"Sonor Select 10""x2"" Jungle S B-Stock","Septembrie 2007 / 304553 / 1 bucată(ăţi) / 2"" / Natural / No / No / Lacquer, High glossy / Maple / No / Chrome",4.4 din 5 stele din 8 evaluări ale clienților,798.00,798.00,în stoc,https://www.thomann.de/ro/sonor_select_10x2_jungle_s_b_stock.htm?type=category,https://www.thomann.de/ro/tobe_mici_lemn_10_inci.html
"Remo 34 3/4"" Renaissance Timp. Head",Iulie 2010 / 238967 / 1 bucată(ăţi),,1444.00,1444.00,Disponibil in 4-5 Saptamani,https://www.thomann.de/ro/remo_34_3_4_renaissance_timp._head.htm?type=category,https://www.thomann.de/ro/fete_pt_timpani_32_inci.html
Kalfo Super Timpani Head 91cm,Ianuarie 2010 / 238158 / 1 bucată(ăţi),,2999.00,2999.00,Disponibil în câteva luni,https://www.thomann.de/ro/kalfo_super_timpani_91.htm?type=category,https://www.thomann.de/ro/fete_pt_timpani_29_inci.html
"Remo 28 1/2"" Renaissance Timp. Head",Ianuarie 2010 / 238957 / 1 bucată(ăţi),5.0 din 5 stele din 1 evaluări ale clienților,"1,09",1090.00,în stoc,https://www.thomann.de/ro/remo_28_1_2_renaissance_timp._head.htm?type=category,https://www.thomann.de/ro/fete_pt_timpani_28_inci.html
"Remo 27 1/2"" Renaissance Timp. Head",Decembrie 2009 / 238958 / 1 bucată(ăţi),,975.00,975.00,în stoc,https://www.thomann.de/ro/remo_27_12_renaissance_paukenfell.htm?type=category,https://www.thomann.de/ro/fete_pt_timpani_26_inci.html
"Remo 22 8/16"" Renaissan. Timp. Head",Decembrie 2007 / 199999 / 1 bucată(ăţi),,825.00,825.00,în stoc,https://www.thomann.de/ro/remo_22_8_16_renaissan_timp._head.htm?type=category,https://www.thomann.de/ro/fete_pt_timpani_23_inci.html
"Millenium 13""x3,5"" Black Beast S B-Stock","Aprilie 2010 / 285054 / 1 bucată(ăţi) / 3,5"" / No / No / Black",4.0 din 5 stele din 1 evaluări ale clienților,419.00,419.00,în stoc,https://www.thomann.de/ro/millenium_13x35_black_beast_s_b_stock.htm?type=category,https://www.thomann.de/ro/tobe_mici_otel_13_inci.html
"Gretsch Drums 12""x06"" Brooklyn Chrome/Steel","Mai 2014 / 336499 / 1 bucată(ăţi) / 6"" / No / No / Silver",4.5 din 5 stele din 4 evaluări ale clienților,2333.00,2333.00,în stoc,https://www.thomann.de/ro/gretsch_drums_12x06_brooklyn_chrome_steel.htm?type=category,https://www.thomann.de/ro/tobe_mici_otel_12_inci.html
"Pearl 10""x05"" Fire Cracker Snare","Aprilie 2003 / 161371 / 1 bucată(ăţi) / 5"" / No / No / Silver",4.7 din 5 stele din 29 evaluări ale clienților,"1,29",1290.00,în stoc,https://www.thomann.de/ro/pearl_fcs1050_firecracker_snaredrum.htm?type=category,https://www.thomann.de/ro/premiere_din_otel_10_inci.html
"Millenium 10""x5,5"" Brass Side Snare",Mai 2014 / 333898 / 1 bucată(ăţi),4.6 din 5 stele din 20 evaluări ale clienților,689.00,689.00,în stoc,https://www.thomann.de/ro/millenium_10x55_brass_side_snare.htm?type=category,https://www.thomann.de/ro/tobe_mici_alama_10_inci.html
"Millenium 16""x10"" Focus Jr. Bass B-Stock",Noiembrie 2021 / 579848 / 1 bucată(ăţi),,419.00,419.00,în stoc,https://www.thomann.de/ro/millenium_16x10_focus_jr_bass_b_stock.htm?type=category,https://www.thomann.de/ro/tobe_mari_16_inci.html
